CODICE_INDIVIDUO	SESSO	DATA_NASCITA	COD_PROV_RESIDENZA	FL_ITA	POP_ABC_2017	TS_APR4_2017	PESO_CAL_PROV	G_ISTR_2016_CDIFF_CORR	G_ISTR_2017_CDIFF_CORR	VAR18	CLETA_18	TS_MS18_CDIFF	SIREA	FOLD
1	M	19321023	12	1	B	99	22.7562364	2	2	99	14	3	0	2
2	F	19410211	16	1	B	99	22.5366216	3	3	99	14	3	0	4
3	F	19410430	12	1	B	99	21.00654269	5	5	99	14	5	0	0
4	M	19510323	19	1	B	99	10.60596444	5	5	99	13	5	0	2
5	M	19550123	19	1	B	99	13.74981219	7	7	99	13	7	0	4
6	F	19600822	97	1	B	99	14.07084738	5	5	99	13	5	0	3
7	M	19610622	16	0	B	99	13.96351218	2	2	99	13	4	0	3
8	F	19631217	97	1	B	99	16.14622499	5	5	99	13	5	0	0
9	M	19670828	19	1	B	99	14.36353984	4	4	99	13	4	0	4
10	M	19690407	20	1	B	99	20.76025426	5	5	99	12	5	0	4
11	F	19721127	17	0	B	99	19.0418268	5	5	99	12	5	0	1
12	F	19771018	16	1	B	99	31.57679821	4	4	99	12	4	0	2
13	F	19420113	15	1	B	99	79.61061959	3	3	99	14	3	0	1
14	M	19450725	13	1	B	99	15.78870095	3	3	99	14	3	0	0
15	F	19471016	15	1	B	99	21.30858492	4	4	99	14	5	0	0
16	F	19600320	12	1	B	99	25.04777609	5	5	99	13	5	0	3
17	F	19640917	16	1	B	99	23.2331592	4	4	99	13	4	0	0
18	M	19750926	16	1	B	99	31.75650003	4	4	99	12	4	0	1
19	M	19780702	108	1	B	99	30.96920096	5	5	99	12	5	0	4
20	F	19860209	15	1	A	3	42.45719969	5	5	99	11	5	0	3
21	F	19901129	97	1	B	2	16.85129046	4	4	99	10	5	0	4
22	M	19940901	108	1	A	99	26.34245313	6	6	99	9	6	0	0
23	F	19430726	98	1	B	99	16.04058886	3	3	99	14	4	0	2
24	M	19471023	16	1	B	99	24.97585729	4	4	99	14	4	0	3
25	F	19481105	97	1	B	99	13.04042476	3	3	99	14	3	0	0
26	M	19620210	16	1	B	99	34.5277483	4	4	99	13	4	0	4
27	F	19621018	17	1	B	2	29.19092102	4	4	99	13	4	0	4
28	F	19650930	15	1	B	99	30.50403324	4	4	99	13	4	0	3
29	F	19931013	19	1	A	99	19.44051817	5	5	99	9	6	0	3
30	F	19371118	17	1	B	99	26.58570316	3	3	99	14	3	0	3
31	F	19460129	12	1	B	99	28.8219468	3	3	99	14	3	0	3
32	F	19491215	18	1	B	99	16.32706372	4	4	99	13	4	0	4
33	M	19560910	97	1	B	99	27.75076393	5	5	99	13	5	0	1
34	M	19620811	108	1	B	99	24.40371444	5	5	99	13	5	0	3
35	M	19630121	16	1	B	99	36.07953554	7	7	99	13	7	0	4
36	F	19700207	13	1	B	2	18.89814605	4	4	99	12	4	0	3
37	M	19720714	97	1	B	99	16.1226917	5	5	99	12	5	0	4
38	F	19920211	17	1	A	99	33.41518699	5	5	99	10	5	0	0
39	M	19980416	14	1	A	99	9.816733967	4	5	99	8	5	0	4
40	M	19930916	15	1	B	99	42.36642743	4	4	99	9	4	0	4
41	M	19750111	16	1	B	99	31.00985214	7	7	99	12	7	0	2
